Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/29/2022,01/31/2022,7-ELEVEN 37485,Gas,Sale,-17.09,
01/30/2022,01/30/2022,Payment Thank You - Web,,Payment,180.78,
01/26/2022,01/28/2022,7-ELEVEN 37485,Gas,Sale,-7.39,
01/27/2022,01/27/2022,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
01/22/2022,01/23/2022,KAM MAN FOOD LLC,Groceries,Sale,-6.20,
01/22/2022,01/23/2022,KAM MAN FOOD LLC,Groceries,Sale,-37.89,
01/22/2022,01/23/2022,USA*CSC TEP CO,Food & Drink,Sale,-1.25,
01/20/2022,01/21/2022,USA*CSC TEP CO,Food & Drink,Sale,-1.25,
01/18/2022,01/20/2022,7-ELEVEN 37373,Gas,Sale,-4.60,
01/18/2022,01/19/2022,USA*CSC TEP CO,Food & Drink,Sale,-1.25,
01/15/2022,01/16/2022,USA*CSC TEP CO,Food & Drink,Sale,-1.25,
01/12/2022,01/14/2022,7-ELEVEN 37485,Gas,Sale,-5.44,
01/12/2022,01/13/2022,USA*CSC TEP CO,Food & Drink,Sale,-2.00,
01/11/2022,01/12/2022,NOUR ALSHAM MARKET,Groceries,Sale,-23.63,
01/10/2022,01/11/2022,ROCHE BROTHERS513,Groceries,Sale,-7.49,
01/09/2022,01/10/2022,7-ELEVEN 37373,Gas,Sale,-13.01,
01/09/2022,01/10/2022,USA*CSC TEP CO,Shopping,Sale,-2.00,
01/09/2022,01/10/2022,SCRUBADUB QUINCY,Automotive,Sale,-10.00,
01/09/2022,01/09/2022,LYFT   *1 RIDE 01-07,Travel,Sale,-11.75,
01/05/2022,01/06/2022,USA*CSC TEP CO,Food & Drink,Sale,-2.00,
12/31/2021,01/03/2022,QUINCY INTERNATIONAL FOOD,Groceries,Sale,-35.09,
01/02/2022,01/02/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-6.39,
12/31/2021,01/02/2022,METROPCS AUTO PAY,Bills & Utilities,Sale,-20.00,
01/01/2022,01/02/2022,USA*CSC TEP CO,Food & Drink,Sale,-2.00,
12/30/2021,01/02/2022,7-ELEVEN 34396,Gas,Sale,-6.42,
12/30/2021,01/02/2022,ALUMNI PIZZA QUINCY,Food & Drink,Sale,-12.48,
01/01/2022,01/02/2022,Payment Thank You - Web,,Payment,685.34,
